Header,Right_Eye_X,Right_Eye_Y,Left_Eye_X,Left_Eye_Y,Time_s
Right_Calibration_5_pd,50,158,74,50,0.015
 ,50,158,72,50,0.029
 ,50,158,72,46,0.046
 ,50,160,70,46,0.067
 ,50,158,74,48,0.083
 ,50,160,74,48,0.094
 ,50,158,74,48,0.104
 ,50,158,74,48,0.115
 ,50,158,70,46,0.127
 ,48,158,72,50,0.141
 ,50,158,74,48,0.156
 ,50,158,72,46,0.168
 ,48,158,74,48,0.183
 ,48,158,70,46,0.197
 ,48,158,72,46,0.211
 ,48,158,72,46,0.225
 ,48,158,74,48,0.239
 ,50,158,72,46,0.253
 ,48,158,72,46,0.267
 ,50,158,70,46,0.28
 ,48,158,74,50,0.294
 ,48,158,72,48,0.308
 ,48,158,70,46,0.322
 ,50,158,70,46,0.336
 ,50,158,70,46,0.35
 ,50,160,74,48,0.365
 ,48,158,74,48,0.379
 ,48,158,74,48,0.392
 ,48,158,74,48,0.406
 ,48,158,74,48,0.42
 ,48,158,74,48,0.434
 ,50,156,70,46,0.448
 ,50,156,74,48,0.463
 ,50,158,74,48,0.477
 ,48,158,74,48,0.491
 ,48,158,70,46,0.504
 ,50,158,70,46,0.518
 ,50,158,74,48,0.532
 ,50,158,74,48,0.547
 ,50,160,74,48,0.56
 ,48,158,74,50,0.574
 ,50,158,70,48,0.589
 ,50,158,74,50,0.602
 ,50,158,72,50,0.617
 ,50,158,72,50,0.63
 ,50,158,72,50,0.645
 ,50,158,72,48,0.658
 ,50,160,72,50,0.672
 ,50,158,70,46,0.686
 ,50,158,74,50,0.7
 ,50,158,74,50,0.715
 ,48,156,72,50,0.729
 ,48,156,74,48,0.742
 ,50,158,72,50,0.757
 ,50,158,72,50,0.771
 ,50,158,70,46,0.784
 ,48,158,74,50,0.799
 ,52,158,72,48,0.813
 ,50,160,74,50,0.827
 ,48,156,72,50,0.841
 ,50,158,74,48,0.854
 ,50,158,74,48,0.868
 ,50,156,70,46,0.883
 ,50,158,72,50,0.896
 ,50,160,70,46,0.91
 ,50,158,74,48,0.925
 ,50,158,70,46,0.939
 ,52,158,74,48,0.952
 ,48,156,72,50,0.967
 ,50,160,70,46,0.98
 ,48,158,74,48,0.994
 ,50,160,70,46,1.009
 ,48,156,74,48,1.022
 ,50,158,70,46,1.037
 ,50,158,74,48,1.05
 ,48,158,70,46,1.065
 ,50,156,70,46,1.079
 ,50,160,70,46,1.093
 ,48,156,70,46,1.106
 ,50,158,70,46,1.121
 ,48,158,70,46,1.134
 ,48,156,72,48,1.148
 ,48,156,72,48,1.162
 ,48,156,74,48,1.177
 ,48,156,74,48,1.191
 ,48,156,74,48,1.204
 ,50,158,70,44,1.218
 ,50,158,72,50,1.233
 ,48,156,74,48,1.247
 ,50,158,74,48,1.26
 ,48,156,72,50,1.274
 ,50,158,72,50,1.288
 ,50,158,72,50,1.303
 ,50,158,70,46,1.316
 ,48,158,74,48,1.331
 ,48,156,72,50,1.345
 ,48,156,74,48,1.358
 ,50,158,74,48,1.372
 ,48,156,70,44,1.387
 ,48,156,74,48,1.401
 ,48,156,70,46,1.414
 ,48,156,74,48,1.428
 ,50,158,74,48,1.442
 ,50,158,70,44,1.456
 ,50,158,72,48,1.47
